#TimeSinceProgStart(s)	Ranger 5000 Load Cell Amplifier
0.000000	2.78
0.096457	2.78
0.176441	2.78
0.271817	2.79
0.368438	2.78
0.464114	2.79
0.560221	2.79
0.655882	2.79
0.752205	2.79
0.848358	2.79
0.959497	2.79
1.023762	2.79
1.103729	2.79
1.183809	2.79
1.279231	2.79
1.375314	2.79
1.472436	2.79
1.567534	2.79
1.663496	2.79
1.759340	2.79
1.855138	2.79
1.935529	2.79
2.031781	2.79
2.130562	2.79
2.206163	2.79
2.270383	2.79
2.366931	2.79
2.463044	2.79
2.562081	2.79
2.655442	2.79
2.750866	2.79
2.846911	2.79
2.942723	2.79
3.038732	2.79
3.118675	2.79
3.214808	2.79
3.311798	2.79
3.391003	2.79
3.470864	2.79
3.550860	2.79
3.647242	2.79
3.743018	2.79
3.838489	2.79
3.934584	2.79
4.030759	2.79
4.126466	2.79
4.207013	2.79
4.302522	2.79
4.398597	2.79
4.494420	2.79
4.574427	2.79
4.654311	2.79
4.734379	2.79
4.830826	2.79
4.926157	2.79
5.022314	2.79
5.118115	2.79
5.214354	2.79
5.309913	2.79
5.406152	2.79
5.502020	2.79
5.598429	2.79
5.694184	2.79
5.773950	2.79
5.838105	2.79
5.933224	2.79
6.029677	2.8
6.110100	2.8
6.205865	2.8
6.301768	2.8
6.397739	2.8
6.493741	2.8
6.589696	2.8
6.685683	2.8
6.781566	2.8
6.861749	2.8
6.926139	2.8
7.021317	2.8
7.117238	2.8
7.213280	2.8
7.293370	2.8
7.389343	2.8
7.485150	2.8
7.597004	2.8
7.693283	2.8
7.789237	2.8
7.885805	2.8
7.949299	2.8
8.029085	2.8
8.109174	2.8
8.205089	2.8
8.301430	2.8
8.396785	2.8
8.492862	2.8
8.588653	2.8
8.685013	2.8
8.780749	2.8
8.876992	2.8
8.973025	2.8
9.037023	2.8
9.116607	2.8
9.196519	2.8
9.292592	2.8
9.387412	2.8
9.483460	2.8
9.579676	2.8
9.675466	2.8
9.771266	2.8
9.867181	2.79
9.963115	2.79
10.059763	2.79
10.139943	2.79
10.218949	2.79
10.300009	2.79
10.380314	2.79
10.475023	2.79
10.570994	2.79
10.667228	2.79
10.762872	2.79
10.859756	2.79
10.955800	2.79
11.051041	2.79
11.146674	2.79
11.242625	nan
12.245369	26.69
12.282654	25
12.378096	24.57
12.458165	24.51
12.555043	24.5
